Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1992,Swasta,37210,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,2,>50K,0
1981,Swasta,101950,Magister,Magister,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0,<=50K,0
2004,Swasta,122244,SMA Grad,SMA Grad,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,28,United-States,0,<=50K,0
1984,Pemerintah daerah,24763,Diploma,Kuliah,Cerai,Transportasi dan Pengangkutan,Belum Menikah,1,Male,6849,0,40,United-States,0,<=50K,0
2000,Swasta,113936,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1973,Swasta,237630,SMA Grad,SMA Grad,Menikah,Dukungan Teknis,Suami,1,Male,7298,0,50,United-States,1,>50K,0
1980,Swasta,310255,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,1,>50K,0
1971,Swasta,121441,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,55,United-States,0,<=50K,0
1980,Pengusaha berbadan hukum,191712,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,2415,55,United-States,2,>50K,0
1996,Pengusaha berbadan hukum,149646,Diploma,Kuliah,Cerai,Spesialis Profesional,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
1992,Swasta,113364,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,>50K,0
1973,Swasta,63424,Magister,Magister,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,2,>50K,0
1995,Swasta,175738,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0,>50K,0
2002,Swasta,38251,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,35,United-States,0,<=50K,0
1964,Swasta,251572,SMA Grad,SMA Grad,Duda/Janda,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,35,Poland,1,<=50K,0
1990,Swasta,317219,Diploma,Kuliah,Menikah,Layanan Lainnya,Istri,1,Female,0,0,20,United-States,3,>50K,0
1970,Pemerintah daerah,186884,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,30,United-States,0,<=50K,0
2005,Swasta,414871,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1963,Swasta,86067,Asosiasi akademik,vokasi Grad_1,Menikah,Sales,Suami,1,Male,15024,0,40,United-States,3,>50K,0
1978,Swasta,148738,SMA Grad,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,0,1740,35,United-States,2,<=50K,0
1961,Swasta,175777,kelas 10,SMA_1,Rencana Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,2,Male,0,0,40,United-States,2,<=50K,0
1990,Swasta,231238,kelas 9,SMP_2,Rencana Cerai,Pertanian dan Perikanan,Belum Menikah,2,Male,0,0,40,United-States,0,<=50K,0
1981,Pemerintah pusat,214541,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,2,>50K,0
1979,Pengusaha perorangan,210364,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,15024,0,80,United-States,0,>50K,0
1989,Swasta,92028,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,1,>50K,0
1996,Swasta,161674,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Belum Menikah,1,Female,0,0,40,United-States,0,<=50K,0
1990,Swasta,29235,Asosiasi akademik,vokasi Grad_1,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K,0
1973,Swasta,221672,Magister,Magister,Menikah,Sales,Suami,1,Male,15024,0,50,United-States,2,>50K,0
1969,Pemerintah daerah,107308,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,2,>50K,0
2004,Swasta,223811,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1964,Pengusaha berbadan hukum,93272,kelas 7-8,SMP_1,Menikah,Sales,Suami,1,Male,0,0,60,United-States,3,<=50K,0
1990,Swasta,314646,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1971,Swasta,355802,Diploma,Kuliah,Duda/Janda,Sales,Belum Menikah,1,Female,0,0,30,United-States,0,<=50K,0
1985,Swasta,306646,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,3103,0,50,United-States,2,>50K,0
1987,Swasta,234901,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,50,Germany,3,>50K,0
1968,Pemerintah daerah,370045,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,>50K,0
1993,Pemerintah pusat,101345,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1996,Pemerintah daerah,154863,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,2,Male,0,0,40,Trinadad&Tobago,3,>50K,0
1971,Swasta,79324,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,>50K,0
1989,Swasta,156728,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1988,Swasta,94954,Asosiasi vokasional,vokasi Grad_2,Duda/Janda,Pertanian dan Perikanan,Tidak dalam Keluarga,1,Female,0,0,20,United-States,1,<=50K,0
1999,Swasta,469697,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,2,<=50K,0
1981,Pengusaha berbadan hukum,151089,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0,<=50K,0
1977,Swasta,105381,SMA Grad,SMA Grad,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K,0
1987,Swasta,348796,Sarjana,Sarjana,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1,<=50K,0
1977,Swasta,187969,kelas 11,SMA_2,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,38,United-States,1,<=50K,0
1986,Swasta,607848,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,2,>50K,0
1999,Pemerintah daerah,77698,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1988,Swasta,405155,kelas 5-6,SD_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,Mexico,0,<=50K,0
1999,Swasta,251915,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1969,Pemerintah negara,26290,Asosiasi vokasional,vokasi Grad_2,Duda/Janda,Eksekutif Manager,Tidak dalam Keluarga,4,Female,0,0,38,United-States,0,<=50K,0
2004,Swasta,188300,Diploma,Kuliah,Belum-menikah,Dukungan Teknis,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1994,Pengusaha perorangan,523095,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,45,United-States,0,<=50K,0
1992,Swasta,154087,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1967,Swasta,49893,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,1,>50K,0
2004,Swasta,528616,kelas 5-6,SD_2,Belum-menikah,Layanan Lainnya,Kerabat,1,Male,0,0,40,Mexico,0,<=50K,0
1999,Swasta,344719,SMA Grad,SMA Grad,Menikah,Layanan Lainnya,Istri,1,Female,0,0,4,United-States,2,<=50K,0
1994,Swasta,329425,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K,0
2005,Swasta,187352,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
2005,Swasta,279968,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
1990,Swasta,155151,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,>50K,0
1997,Swasta,195337,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1992,Swasta,184440,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,3464,0,40,United-States,2,<=50K,0
1974,Swasta,35224,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1991,Pengusaha perorangan,167476,kelas 11,SMA_2,Cerai,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,7,United-States,2,<=50K,0
1980,Swasta,71269,Diploma,Kuliah,Cerai,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,<=50K,0
1984,Pemerintah daerah,27444,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,>50K,0
1992,Swasta,147284,Asosiasi vokasional,vokasi Grad_2,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0,>50K,0
1988,Swasta,297449,Sarjana,Sarjana,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Male,14084,0,40,United-States,2,>50K,0
2004,Swasta,303565,Diploma,Kuliah,Belum-menikah,Pengelola Kebersihan,Punya Anak,2,Male,0,0,40,Germany,0,<=50K,0
1996,Swasta,96020,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1992,Pengusaha perorangan,84119,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,2,<=50K,0
1942,Pengusaha berbadan hukum,130329,kelas 7-8,SMP_1,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,0,<=50K,0
1991,Swasta,199227,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,3,>50K,0
1981,Swasta,75742,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1981,Swasta,177905,SMA Grad,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,3908,0,40,United-States,0,<=50K,0
2000,Swasta,278155,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K,0
1991,Pengusaha perorangan,235271,Sarjana,Sarjana,Cerai,Sales,Tidak dalam Keluarga,1,Male,0,0,50,United-States,2,>50K,0
1946,Pengusaha perorangan,165694,Magister,Magister,Duda/Janda,Sales,Tidak dalam Keluarga,1,Female,0,0,15,United-States,1,<=50K,0
1999,Swasta,234665,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,1,<=50K,0
1979,Swasta,114459,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,1,>50K,0
1993,Swasta,131568,kelas 9,SMP_2,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
2005,Swasta,308064,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,2,Female,0,0,40,United-States,0,<=50K,0
