Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income,in_relationship,income_monthly,Kelas Penghasilan,Age
1992,Swasta,37210,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,2.0,1,0,1,0,Low,32
1981,Swasta,101950,Magister,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0.0,0,0,0,0,Low,43
2004,Swasta,122244,SMA Grad,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,28,United-States,0.0,0,0,0,0,Low,20
1984,Sektor Pemerintah,24763,Diploma,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,1,Male,6849,0,40,United-States,0.0,0,0,0,27396,Low,40
2000,Swasta,113936,Sarjana,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,24
1973,Swasta,237630,SMA Grad,Menikah,Dukungan Teknis,Suami,1,Male,7298,0,50,United-States,1.0,1,0,1,29192,Low,51
1980,Swasta,310255,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,1.0,1,0,1,0,Low,44
1971,Swasta,121441,Diploma,Menikah,Sales,Suami,1,Male,0,0,55,United-States,0.0,0,0,1,0,Low,53
1980,Pengusaha berbadan hukum,191712,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,2415,55,United-States,2.0,1,0,1,0,Low,44
1996,Swasta,149646,Diploma,Cerai,Spesialis Profesional,Punya Anak,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,28
1992,Swasta,113364,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,1,0,0,0,Low,32
1973,Swasta,63424,Magister,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,2.0,1,0,1,0,Low,51
1995,Swasta,175738,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0.0,1,0,0,0,Low,29
2002,Swasta,38251,Asosiasi akademik,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,35,United-States,0.0,0,0,0,0,Low,22
1964,Swasta,251572,SMA Grad,Duda/Janda,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,35,Poland,1.0,0,0,0,0,Low,60
1990,Swasta,317219,Diploma,Menikah,Spesialis Profesional,Istri,1,Female,0,0,20,United-States,3.0,1,0,1,0,Low,34
1970,Sektor Pemerintah,186884,Diploma,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,30,United-States,0.0,0,0,1,0,Low,54
2005,Swasta,414871,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,19
1963,Swasta,86067,Asosiasi akademik,Menikah,Sales,Suami,1,Male,15024,0,40,United-States,3.0,1,0,1,60096,Low,61
1978,Swasta,148738,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,0,1740,35,United-States,2.0,0,0,1,0,Low,46
1961,Swasta,175777,SMA,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,2,Male,0,0,40,United-States,2.0,0,0,0,0,Low,63
1990,Swasta,231238,SMP,Belum-menikah,Pertanian dan Perikanan,Belum Menikah,2,Male,0,0,40,United-States,0.0,0,0,0,0,Low,34
1981,Sektor Pemerintah,214541,Diploma,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,43
1979,Pengusaha perorangan,210364,SMA Grad,Menikah,Sales,Suami,1,Male,15024,0,80,United-States,0.0,1,0,1,60096,Low,45
1989,Swasta,92028,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,1.0,1,0,1,0,Low,35
1996,Swasta,161674,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Belum Menikah,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,28
1990,Swasta,29235,Asosiasi akademik,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3.0,0,0,0,0,Low,34
1973,Swasta,221672,Magister,Menikah,Sales,Suami,1,Male,15024,0,50,United-States,2.0,1,0,1,60096,Low,51
1969,Sektor Pemerintah,107308,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,55
